0>0:0,1:93.5707,2:103.364,3:99.7783,4:95.4753,5:89.5352,6:103.153,7:95.0505,8:169.004,9:91.4204,10:101.407,11:92.6921,12:98.5736,13:99.5421,14:100.068,15:106.462,16:101.778,17:104.19,18:94.1251,19:100.912,20:109.966,21:88.919,22:99.3067,23:90.9637,24:98.2124,25:94.4451,26:108.566,27:106.413,28:92.3953,29:96.1539,30:166.669,31:98.5616,32:88.4844,33:102.414,34:106.579,35:93.4063,36:104.139,37:110.995,38:177.284,39:103.831,40:87.734,41:103.484,42:97.3753,43:106.804,44:104.336,45:101.411,46:105.726,47:99.2213,48:154.062,49:94.2915,50:94.2019,51:97.5352,52:94.8845,53:100.881,54:97.6535,55:105.485,56:96.7125,57:107.47,58:91.1025,59:100.305,60:108.394,61:94.1948,62:99.6855,63:99.4726,64:90.9958,65:96.3823,66:104.09,67:102.709,68:89.8272,69:105.223,70:88.0765,71:97.4732,72:173.029,73:96.625,74:96.3285,75:95.9567,76:98.6425,77:155.074,78:102.812,79:85.3409,80:103.465,81:95.3942,82:108.702,83:104.197,84:96.5499,85:103.021,86:94.8466,87:99.4767,88:87.3228,89:99.1379,90:98.2695,91:95.3864,92:101.982,93:91.9874,94:106.945,95:104.119,96:103.524,97:170.311,98:85.8977,99:98.7473
11>0:224.051,1:308.377,2:319.444,3:265.676,4:259.978,5:304.798,6:89.6568,7:226.576,8:332.015,9:221.918,10:386.075,11:0,12:264.382,13:307.22,14:198.274,15:205.193,16:191.397,17:128.356,18:278.891,19:282.969,20:170.845,21:323.238,22:240.465,23:316.632,24:156.967,25:297.484,26:203.968,27:275.083,28:259.564,29:242.798,30:320.056,31:264.322,32:339.35,33:159.494,34:151.703,35:203.602,36:250.196,37:110.612,38:320.397,39:209.866,40:320.434,41:165.789,42:263.307,43:140.697,44:312.899,45:255.667,46:200.774,47:97.2489,48:334.944,49:304.975,50:273.466,51:108.024,52:309.725,53:163.654,54:300.908,55:196.128,56:125.311,57:267.772,58:240.659,59:91.3336,60:97.8096,61:359.856,62:296.571,63:202.022,64:325.931,65:292.089,66:153.025,67:176.786,68:396.147,69:266.324,70:350.764,71:220.242,72:318.171,73:158.736,74:269.67,75:276.369,76:206.249,77:303.435,78:205.49,79:275.146,80:323.619,81:322.294,82:178.041,83:240.39,84:252.232,85:80.6572,86:320.56,87:206.477,88:217.024,89:279.233,90:77.0455,91:291.45,92:65.5647,93:299.579,94:146.634,95:390.354,96:220.49,97:333.269,98:390.903,99:297.342
12>0:154.467,1:202.997,2:318.024,3:125.235,4:253.238,5:263.006,6:161.199,7:167.935,8:366.272,9:225.632,10:211.907,11:168.799,12:0,13:195.473,14:240.555,15:234.937,16:165.023,17:144.282,18:332.33,19:281.398,20:169.77,21:200.018,22:191.677,23:289.425,24:159.338,25:284.406,26:72.9209,27:244.663,28:193.304,29:285.944,30:201.221,31:278.935,32:246.476,33:157.4,34:164.235,35:145.572,36:253.672,37:155.031,38:214.682,39:166.662,40:268.341,41:162.543,42:251.882,43:145.737,44:355.366,45:205.617,46:169.679,47:150.769,48:339.541,49:200.581,50:145.652,51:167.019,52:261.522,53:164.985,54:189.684,55:132.718,56:161.57,57:126.779,58:233.094,59:146.905,60:146.333,61:299.923,62:230.484,63:222.189,64:197.121,65:200.819,66:85.4529,67:176.215,68:326.385,69:223.001,70:282.6,71:218.005,72:317.287,73:76.3713,74:247.39,75:253.006,76:159.793,77:353.013,78:163.274,79:245.18,80:230.711,81:324.851,82:117.589,83:140.558,84:202.846,85:166.241,86:306.628,87:165.43,88:220.605,89:165.697,90:169.6,91:213.274,92:163.952,93:273.694,94:79.0976,95:292.397,96:244.704,97:363.19,98:276.128,99:321.515
13>0:211.296,1:211.922,2:195.175,3:203.602,4:266.21,5:197.329,6:232.304,7:240.251,8:214.487,9:190.009,10:90.4887,11:175.301,12:234.426,13:0,14:206.317,15:205.368,16:202.41,17:222.238,18:145.578,19:230.614,20:253.909,21:267.594,22:141.271,23:149.665,24:189.829,25:123.139,26:224.008,27:207.469,28:225.62,29:73.8207,30:234.246,31:69.265,32:225.64,33:192.119,34:186.261,35:242.207,36:133.673,37:250.103,38:232.746,39:290.738,40:225.536,41:261.987,42:221.632,43:193.625,44:151.643,45:125.639,46:200.937,47:232.359,48:152.386,49:188.738,50:252.015,51:259.285,52:130.582,53:148.861,54:165.505,55:217.822,56:198.448,57:270.298,58:246.374,59:232.949,60:228.832,61:229.713,62:87.0184,63:207.27,64:273.643,65:220.33,66:214.069,67:276.314,68:178.259,69:77.1077,70:203.673,71:187.545,72:232.183,73:238.6,74:200.241,75:212.476,76:241.068,77:137.595,78:205.022,79:181.55,80:238.704,81:198.518,82:207.508,83:156.175,84:214.077,85:283.374,86:204.643,87:303.156,88:139.825,89:275.081,90:231.554,91:206.69,92:153.702,93:148.568,94:243.808,95:240.239,96:240.638,97:217.257,98:194.26,99:153.425
14>0:248.649,1:247.123,2:148.981,3:86.7576,4:156.493,5:334.44,6:88.1294,7:209.598,8:109.45,9:238.743,10:231.277,11:196.229,12:92.6804,13:215.62,14:0,15:85.9727,16:85.9334,17:171.218,18:213.412,19:91.1985,20:161.205,21:322.791,22:142.521,23:255.725,24:165.219,25:201.786,26:90.2578,27:215.375,28:268.906,29:188.858,30:130.211,31:192.372,32:303.429,33:265.08,34:157.155,35:117.822,36:237.165,37:250.271,38:142.525,39:192.069,40:332.493,41:203.967,42:158.131,43:102.032,44:225.792,45:233.488,46:87.277,47:94.0359,48:158.552,49:225.307,50:139.518,51:251.475,52:218.08,53:151.505,54:206.96,55:89.1039,56:189.526,57:88.7075,58:233.87,59:89.3294,60:90.6813,61:349.808,62:232.405,63:80.858,64:318.066,65:291.915,66:89.1413,67:211.244,68:361.266,69:197.497,70:344.824,71:230.337,72:126.499,73:101.764,74:216.675,75:49.1057,76:210.439,77:128.866,78:84.2722,79:306.85,80:130.917,81:139.712,82:81.1725,83:207.206,84:154.542,85:211.316,86:143.849,87:158.99,88:138.442,89:256.623,90:247.542,91:288.737,92:195.305,93:210.694,94:102.628,95:339.231,96:72.7189,97:116.615,98:333.97,99:198.174
15>0:242.464,1:216.82,2:171.199,3:131.122,4:152.963,5:328.324,6:117.618,7:210.789,8:215.499,9:215.674,10:338.952,11:251.068,12:137.456,13:250.497,14:136.207,15:0,16:205.871,17:230.646,18:306.573,19:137.489,20:219.206,21:247.066,22:200.172,23:279.912,24:213.062,25:315.02,26:135.316,27:264.725,28:269.721,29:249.689,30:163.195,31:253.568,32:320.181,33:206.057,34:228.011,35:167.784,36:262.873,37:221.12,38:173.312,39:204.947,40:311.554,41:206.103,42:182.048,43:280.342,44:221.46,45:239.073,46:79.8774,47:128.525,48:190.833,49:252.202,50:163.339,51:213.22,52:256.083,53:187.497,54:266.462,55:143.797,56:236.507,57:127.815,58:227.051,59:118.946,60:110.894,61:312.744,62:238.765,63:74.4336,64:239.226,65:277.463,66:149.739,67:217.347,68:351.129,69:240.904,70:319.955,71:221.595,72:160.74,73:143.42,74:270.285,75:118.084,76:218.325,77:278.801,78:77.1514,79:293.68,80:140.458,81:127.689,82:168.777,83:221.51,84:124.755,85:222.739,86:129.297,87:218.259,88:201.179,89:300.62,90:221.221,91:277.081,92:249.012,93:231.843,94:144.345,95:306.973,96:135.651,97:211.113,98:291.717,99:250.701
16>0:172.94,1:108.569,2:156.3,3:88.0203,4:125.172,5:205.045,6:87.5903,7:231.332,8:235.782,9:169.083,10:270.361,11:186.288,12:138.498,13:248.549,14:91.8439,15:149.291,16:0,17:182.274,18:238.89,19:144.022,20:160.383,21:323.547,22:199.025,23:237.438,24:145.702,25:219.243,26:89.5724,27:192.881,28:219.472,29:258.375,30:147.99,31:248.368,32:286.52,33:144.111,34:155.195,35:117.441,36:237.329,37:188.76,38:149.777,39:179.014,40:246.776,41:149.534,42:118.872,43:177.337,44:240.371,45:256.661,46:83.926,47:87.6774,48:210.329,49:232.781,50:79.0882,51:161.045,52:254.483,53:147.399,54:233.166,55:85.024,56:177.633,57:86.7396,58:129.508,59:86.2395,60:80.5825,61:294.383,62:236.938,63:88.096,64:329.778,65:126.957,66:147.221,67:160.126,68:242.708,69:262.23,70:211.347,71:190.609,72:160.373,73:89.1711,74:187.931,75:85.7337,76:161.262,77:245.454,78:85.3976,79:204.603,80:186.139,81:184.454,82:91.3127,83:231.552,84:123.507,85:188.842,86:179.578,87:238.628,88:203.592,89:277.445,90:183.672,91:121.121,92:190.587,93:237.454,94:93.4946,95:260.614,96:85.454,97:246.369,98:252.543,99:218.518
17>0:214.268,1:242.753,2:218.202,3:201.633,4:149.917,5:267.757,6:86.1242,7:205.75,8:324.506,9:245.143,10:281.925,11:69.3103,12:155.141,13:265.088,14:206.323,15:203.774,16:201.728,17:0,18:285.927,19:198.785,20:136.962,21:318.999,22:294.674,23:291.187,24:163.582,25:303.184,26:137.824,27:333.303,28:294.299,29:267.164,30:251.438,31:296.977,32:284.958,33:167.442,34:159.043,35:221.627,36:316.467,37:107.649,38:237.376,39:128.461,40:273.697,41:192.909,42:216.346,43:69.2483,44:351.19,45:299.898,46:201.89,47:92.1198,48:414.097,49:316.246,50:194.883,51:87.3805,52:324.017,53:180.881,54:320.203,55:150.412,56:134.395,57:199.734,58:280.194,59:93.7214,60:99.4433,61:325.671,62:313.521,63:203.879,64:316.635,65:321.211,66:82.546,67:147.317,68:311.408,69:258.714,70:310.435,71:243.874,72:333.371,73:76.83,74:329.121,75:206.388,76:247.02,77:403.615,78:204.676,79:268.393,80:197.662,81:272.182,82:144.326,83:310.303,84:259.594,85:82.0644,86:267.907,87:179.44,88:318.287,89:302.288,90:140.091,91:316.756,92:79.3967,93:316.513,94:76.8778,95:305.084,96:204.099,97:330.098,98:324.309,99:394.092
18>0:172.61,1:161.027,2:151.534,3:157.08,4:186.572,5:127.766,6:236.982,7:155.674,8:160.622,9:119.904,10:84.319,11:198.686,12:161.653,13:93.6043,14:202.146,15:162.806,16:158.149,17:219.516,18:0,19:157.793,20:165.074,21:172.216,22:117.037,23:55.3962,24:157.218,25:86.4711,26:160.713,27:148.899,28:171.385,29:95.0441,30:173.368,31:89.9048,32:121.032,33:162.869,34:157.155,35:162.23,36:86.9278,37:230.218,38:175.256,39:137.757,40:106.318,41:195.275,42:185.622,43:232.823,44:93.5222,45:81.3311,46:162.621,47:171.434,48:89.447,49:88.905,50:159.471,51:162.48,52:86.5762,53:213.482,54:93.6622,55:165.74,56:233.248,57:156.582,58:151.408,59:164.415,60:161.307,61:91.0883,62:84.0886,63:157.312,64:170.735,65:155.347,66:231.299,67:187.979,68:79.8443,69:96.9865,70:112.187,71:121.654,72:171.967,73:157.466,74:157.486,75:165.632,76:182.779,77:90.9102,78:183.577,79:88.9865,80:169.761,81:167.662,82:166.46,83:87.4866,84:162.263,85:161.077,86:158.598,87:149.811,88:121.252,89:182.874,90:157.745,91:156.209,92:161.508,93:88.9128,94:158.48,95:155.033,96:156.968,97:156.458,98:90.5711,99:93.6366
19>0:208.725,1:151.383,2:140.327,3:92.3706,4:92.4547,5:254.346,6:96.5844,7:208.238,8:90.1535,9:186.886,10:240.576,11:172.728,12:100.782,13:234.53,14:85.0134,15:89.2326,16:90.6807,17:102.489,18:239.496,19:0,20:167.018,21:239.924,22:149.084,23:235.184,24:165.142,25:240.551,26:89.8757,27:254.459,28:185.367,29:217.202,30:75.2139,31:232.199,32:264.788,33:162.257,34:157.995,35:159.217,36:198.49,37:167.893,38:81.0064,39:197.511,40:239.241,41:201.712,42:81.4285,43:95.2971,44:198.404,45:241.78,46:88.5378,47:93.0469,48:169.68,49:202.59,50:90.5904,51:170.632,52:202.367,53:159.73,54:220.135,55:91.2008,56:96.9077,57:88.1285,58:205.248,59:89.713,60:92.1699,61:241.419,62:235.116,63:91.4258,64:242.279,65:196.225,66:106.064,67:161.518,68:224.408,69:229.481,70:202.305,71:191.215,72:82.3322,73:95.0599,74:257.368,75:91.6749,76:221.548,77:140.667,78:94.692,79:242.745,80:70.7377,81:85.3405,82:94.6596,83:246.689,84:86.1777,85:169.795,86:87.9504,87:206.697,88:172.373,89:226.529,90:166.035,91:191.912,92:169.781,93:248.442,94:99.5346,95:235.762,96:87.2322,97:84.2145,98:227.373,99:194.074
20>0:92.7168,1:242.061,2:285.867,3:198.541,4:184.722,5:153.526,6:97.6265,7:125.003,8:258.071,9:198.086,10:189.167,11:86.0997,12:201.028,13:234.887,14:166.106,15:189.348,16:192.786,17:84.8575,18:212,19:294.494,20:0,21:213.457,22:201.423,23:222.376,24:146.017,25:188.095,26:246.616,27:224.536,28:203.924,29:214.116,30:265.099,31:224.479,32:225.097,33:93.6984,34:121.72,35:94.4071,36:194.015,37:89.0996,38:288.873,39:85.7425,40:179.483,41:82.2631,42:239.428,43:85.0409,44:266.009,45:250.691,46:177.991,47:92.4828,48:264.407,49:242.488,50:185.106,51:76.2821,52:202.669,53:87.9077,54:254.307,55:196.841,56:94.3635,57:206.235,58:203.904,59:92.5408,60:94.5757,61:202.405,62:209.901,63:165.224,64:209.492,65:203.337,66:83.6692,67:147.786,68:198.315,69:255.737,70:158.362,71:193.915,72:252.182,73:147.115,74:224.736,75:192.621,76:99.1209,77:238.563,78:189.541,79:209.442,80:231.063,81:307.894,82:194.596,83:258.39,84:243.874,85:78.61,86:295.653,87:87.8202,88:183.984,89:152.667,90:74.4074,91:209.472,92:85.331,93:265.802,94:146.786,95:290.447,96:242.546,97:254.961,98:240.822,99:236.181
