0>0:0,1:93.5707,2:103.364,3:99.7783,4:95.4753,5:89.5352,6:103.153,7:95.0505,8:169.004,9:91.4204,10:101.407,11:92.6921,12:98.5736,13:99.5421,14:100.068,15:106.462,16:101.778,17:104.19,18:94.1251,19:100.912,20:109.966,21:88.919,22:99.3067,23:90.9637,24:98.2124,25:94.4451,26:108.566,27:106.413,28:92.3953,29:96.1539,30:166.669,31:98.5616,32:88.4844,33:102.414,34:106.579,35:93.4063,36:104.139,37:110.995,38:177.284,39:103.831,40:87.734,41:103.484,42:97.3753,43:106.804,44:104.336,45:101.411,46:105.726,47:99.2213,48:154.062,49:94.2915,50:94.2019,51:97.5352,52:94.8845,53:100.881,54:97.6535,55:105.485,56:96.7125,57:107.47,58:91.1025,59:100.305,60:108.394,61:94.1948,62:99.6855,63:99.4726,64:90.9958,65:96.3823,66:104.09,67:102.709,68:89.8272,69:105.223,70:88.0765,71:97.4732,72:173.029,73:96.625,74:96.3285,75:95.9567,76:98.6425,77:155.074,78:102.812,79:85.3409,80:103.465,81:95.3942,82:108.702,83:104.197,84:96.5499,85:103.021,86:94.8466,87:99.4767,88:87.3228,89:99.1379,90:98.2695,91:95.3864,92:101.982,93:91.9874,94:106.945,95:104.119,96:103.524,97:170.311,98:85.8977,99:98.7473
21>0:89.6104,1:185.274,2:270.883,3:152.329,4:157.978,5:117.378,6:94.894,7:154.967,8:289.461,9:220.147,10:150.219,11:105.695,12:105.294,13:143.334,14:164.592,15:161.058,16:147.669,17:97.3278,18:136.113,19:226.714,20:100.23,21:0,22:219.956,23:140.33,24:93.282,25:169.663,26:97.7709,27:236.918,28:261.907,29:144.407,30:296.647,31:148.904,32:82.5503,33:88.8048,34:92.2224,35:151.59,36:140.275,37:101.651,38:286.507,39:99.9636,40:108.994,41:97.7368,42:157.365,43:99.7784,44:204.348,45:152.645,46:154.179,47:95.0788,48:233.762,49:159.187,50:156.123,51:96.2425,52:145.324,53:98.9177,54:131.228,55:101.59,56:95.9398,57:160.048,58:187.144,59:97.3972,60:97.6704,61:84.6118,62:144.796,63:192.727,64:36.2234,65:161.955,66:96.8535,67:93.1428,68:153.217,69:186.511,70:105.763,71:214.515,72:284.761,73:101.011,74:232.744,75:198.122,76:84.8321,77:209.082,78:150.65,79:95.7287,80:270.927,81:187.888,82:160.659,83:190.957,84:166.708,85:101.051,86:173.929,87:89.6754,88:184.971,89:93.0045,90:103.768,91:159.353,92:101.648,93:155.782,94:104.036,95:129.836,96:185.834,97:283.832,98:138.995,99:157.119
22>0:94.4748,1:92.8387,2:97.1664,3:96.3476,4:85.1942,5:89.2816,6:99.8907,7:102.84,8:90.771,9:77.505,10:98.9741,11:105.138,12:108.181,13:101.894,14:101.548,15:98.1533,16:102.908,17:98.014,18:87.9444,19:96.5462,20:100.843,21:93.7562,22:0,23:89.7609,24:102.555,25:96.5719,26:105.985,27:86.4574,28:81.2505,29:99.7042,30:88.7768,31:99.3646,32:92.4078,33:97.3444,34:93.4338,35:93.5496,36:89.8789,37:104.521,38:94.7502,39:102.081,40:91.7747,41:102.108,42:91.8638,43:101.253,44:100.209,45:99.166,46:99.6683,47:102.665,48:75.1986,49:102.394,50:95.2746,51:101.785,52:86.1674,53:102.389,54:87.1812,55:99.6251,56:92.3464,57:102.407,58:97.5057,59:105.447,60:99.942,61:95.8957,62:98.6736,63:105.15,64:93.3462,65:90.4162,66:102.034,67:99.2816,68:87.3922,69:97.3867,70:91.3976,71:78.245,72:88.7386,73:104.957,74:83.2971,75:101.63,76:93.751,77:79.734,78:102.999,79:81.1889,80:95.08,81:96.9299,82:101.992,83:82.5994,84:88.6121,85:105.803,86:97.306,87:98.7285,88:56.7039,89:100.642,90:105.199,91:95.2932,92:100.952,93:87.4228,94:112.356,95:97.8786,96:96.3199,97:83.3944,98:91.768,99:99.0708
23>0:95.5331,1:149.766,2:149.202,3:159.871,4:158.758,5:128.164,6:202.483,7:207.491,8:155.307,9:119.042,10:78.109,11:220.733,12:161.494,13:91.7833,14:186.957,15:191.099,16:156.835,17:161.408,18:52.3118,19:151.19,20:191.396,21:171.695,22:128.756,23:0,24:218.85,25:138.45,26:161.493,27:161.336,28:160.859,29:88.7523,30:172.096,31:97.2692,32:120.969,33:221.129,34:222.278,35:163.718,36:95.6192,37:155.745,38:173.47,39:181.73,40:109.226,41:183.202,42:174.978,43:203.254,44:91.9288,45:87.6263,46:161.023,47:226.872,48:85.3537,49:91.4622,50:158.291,51:188.508,52:85.4697,53:151.19,54:85.554,55:168.54,56:195.265,57:157.885,58:176.068,59:212.883,60:213.073,61:88.8486,62:87.0524,63:176.9,64:176.485,65:160.887,66:219.375,67:186.63,68:81.3658,69:91.2434,70:116.526,71:119.216,72:172.139,73:236.034,74:153.05,75:179.666,76:190.917,77:83.2571,78:164.292,79:92.2354,80:151.817,81:178.664,82:165.766,83:132.837,84:168.428,85:179.726,86:172.799,87:187.355,88:112.527,89:185.051,90:189.262,91:157.474,92:197.523,93:121.46,94:231.867,95:147.418,96:159.258,97:154.912,98:76.4935,99:93.0856
24>0:242.768,1:180.246,2:208.186,3:161.397,4:147.169,5:203.501,6:92.7677,7:135.786,8:205.946,9:193.259,10:260.93,11:98.1585,12:148.714,13:243.795,14:168.549,15:165.342,16:160.295,17:92.2191,18:258.075,19:204.6,20:139.564,21:260.532,22:200.967,23:229.369,24:0,25:184.888,26:149.949,27:219.907,28:215.341,29:198.662,30:207.622,31:185.709,32:181.743,33:51.2523,34:74.7349,35:91.0529,36:232.252,37:79.4444,38:203.753,39:136.41,40:221.807,41:139.389,42:159.955,43:88.3617,44:269.453,45:202.272,46:160.464,47:85.217,48:270.38,49:248.547,50:146.965,51:144.913,52:264.961,53:130.75,54:225.987,55:159.442,56:82.7874,57:158.555,58:189.089,59:90.6956,60:81.288,61:225.468,62:244.01,63:172.555,64:249.898,65:199.436,66:90.4604,67:213.004,68:201.965,69:239.617,70:193.834,71:201.866,72:238.98,73:96.1874,74:235.811,75:171.359,76:130.983,77:275.596,78:158.88,79:189.068,80:215.435,81:209.763,82:160.051,83:205.954,84:147.176,85:94.8799,86:210.674,87:133.615,88:201.879,89:274.629,90:90.3681,91:198.648,92:90.1116,93:255.034,94:92.4727,95:225.825,96:164.406,97:209.214,98:210.2,99:282.78
25>0:160.728,1:145.951,2:183.985,3:168.338,4:165.833,5:145.623,6:186.016,7:174.695,8:188.653,9:131.741,10:89.2572,11:196.646,12:179.486,13:84.738,14:208.566,15:171.925,16:168.582,17:188.388,18:79.639,19:192.791,20:243.913,21:200.327,22:138.639,23:138.446,24:177.4,25:0,26:154.587,27:154.857,28:153.12,29:91.1186,30:197.918,31:87.6895,32:160.997,33:178.929,34:168.451,35:155.31,36:85.6184,37:183.293,38:195.381,39:236.988,40:143.737,41:199.744,42:171.564,43:185.457,44:155.856,45:83.2431,46:168.311,47:184.348,48:201.378,49:158.243,50:153.901,51:243.45,52:95.8196,53:189.396,54:86.2304,55:157.607,56:182.884,57:162.276,58:142.003,59:187.553,60:186.434,61:165.776,62:79.21,63:161.54,64:200.875,65:173.168,66:184.008,67:199.847,68:94.8219,69:84.8074,70:144.281,71:135.212,72:195.513,73:185.254,74:155.909,75:174.969,76:201.175,77:203.089,78:166.29,79:97.4672,80:201.493,81:171.825,82:138.392,83:99.6846,84:162.057,85:245.516,86:167.551,87:231.279,88:137.752,89:171.682,90:188.16,91:179.354,92:195.246,93:96.0167,94:180.59,95:158.745,96:194.267,97:192.572,98:156.367,99:157.707
26>0:208.601,1:223.75,2:294.26,3:141.989,4:285.888,5:325.068,6:157.182,7:209.983,8:345.291,9:218.757,10:401.104,11:146.01,12:80.3006,13:346.768,14:175.412,15:173.528,16:187.78,17:132.492,18:311.574,19:219.862,20:223.982,21:236.263,22:292.665,23:348.249,24:196.058,25:302.478,26:0,27:294.822,28:251.671,29:265.718,30:222.131,31:273.208,32:288.256,33:209.951,34:205.629,35:199.7,36:336.502,37:211.062,38:255.515,39:220.233,40:357.723,41:213.18,42:234.196,43:130.917,44:352.463,45:351.348,46:130.39,47:160.882,48:306.739,49:360.96,50:129.919,51:208.941,52:327.098,53:214.028,54:320.29,55:62.386,56:127.315,57:120.72,58:259.085,59:157.806,60:148.017,61:338.944,62:344.293,63:177.231,64:244.429,65:218.404,66:87.2322,67:220.899,68:314.538,69:368.875,70:334.721,71:220.729,72:265.11,73:141.702,74:292.109,75:179.895,76:211.079,77:393.86,78:169.02,79:196.22,80:258.484,81:277.469,82:103,83:310.866,84:231.367,85:143.434,86:285.231,87:212.269,88:286.307,89:218.854,90:153.884,91:222.154,92:142.806,93:227.422,94:137.932,95:330.877,96:243.465,97:352.971,98:367.655,99:356.612
27>0:195.408,1:145.397,2:146.95,3:149.718,4:143.739,5:154.747,6:152.092,7:91.7411,8:148.013,9:86.3609,10:161.505,11:104.854,12:156.767,13:151.329,14:162.655,15:150.29,16:150.062,17:98.8681,18:148.56,19:151.205,20:93.4931,21:163.724,22:84.32,23:152.152,24:97.607,25:150.518,26:153.556,27:0,28:61.8974,29:146.339,30:156.624,31:145.341,32:167.508,33:90.3386,34:90.7721,35:146.789,36:159.712,37:99.8165,38:159.042,39:99.6129,40:171.482,41:169.242,42:138.147,43:160.087,44:153.821,45:157.232,46:155.445,47:154.419,48:146.785,49:156.416,50:147.119,51:92.0678,52:162.509,53:101.533,54:76.077,55:152.762,56:96.5137,57:152.913,58:92.6768,59:155.096,60:157.957,61:163.807,62:152.554,63:143.166,64:163.331,65:142.57,66:161.204,67:165.032,68:138.885,69:141.821,70:186.941,71:84.6989,72:149.836,73:149.304,74:33.642,75:152.102,76:167.449,77:149.694,78:151.31,79:78.2808,80:158.627,81:141.183,82:148.347,83:78.3856,84:135.915,85:96.8405,86:146.501,87:88.9366,88:83.1253,89:185.595,90:106.797,91:145.167,92:103.523,93:83.8298,94:154.901,95:166.315,96:156.825,97:156.097,98:146.404,99:145.552
28>0:157.061,1:91.0495,2:152.685,3:93.6952,4:142.015,5:149.626,6:105.489,7:96.0783,8:161.061,9:88.6793,10:154.26,11:98.1008,12:95.0928,13:144.983,14:146.121,15:151.778,16:95.2541,17:94.632,18:149.653,19:147.447,20:107.47,21:159.514,22:86.034,23:146.309,24:92.021,25:142.309,26:95.1812,27:71.0946,28:0,29:149.544,30:158.272,31:145.951,32:163.976,33:98.1015,34:101.863,35:86.3591,36:157.337,37:95.072,38:155.719,39:100.434,40:152.552,41:155.295,42:143.045,43:106.485,44:155.937,45:156.33,46:143.976,47:90.874,48:154.698,49:153.765,50:99.3307,51:105.805,52:148.362,53:103.469,54:80.3911,55:96.0553,56:95.4098,57:143.912,58:93.201,59:91.759,60:98.4333,61:157.445,62:154.991,63:161.903,64:159.431,65:92.3221,66:97.0981,67:164.233,68:148.095,69:141.7,70:153.319,71:81.0459,72:155.082,73:107.519,74:62.2317,75:154.571,76:164.697,77:148.346,78:149.052,79:87.0971,80:158.882,81:146.915,82:99.9321,83:84.0228,84:141.493,85:97.4918,86:145.28,87:93.2362,88:89.4972,89:158.584,90:97.5935,91:93.7518,92:100.416,93:79.5055,94:93.8537,95:152.419,96:159.546,97:158.155,98:168.254,99:149.396
29>0:152.323,1:233.991,2:278.23,3:221.006,4:240.415,5:151.78,6:267.461,7:209.895,8:286.42,9:205.713,10:130.04,11:256.218,12:233.319,13:143.361,14:274.655,15:274.425,16:231.613,17:234.562,18:99.8363,19:279.716,20:192.711,21:257.852,22:226.846,23:111.047,24:257.488,25:125.257,26:212.376,27:216.701,28:220.582,29:0,30:280.884,31:73.3092,32:226.754,33:257.252,34:212.778,35:237.616,36:159.755,37:223.103,38:313.667,39:165.211,40:155.249,41:251.611,42:231.978,43:210.189,44:246.784,45:128.935,46:224.389,47:265.375,48:252.022,49:188.883,50:203.132,51:226.58,52:134.785,53:247.506,54:153.44,55:230.178,56:216.073,57:221.642,58:218.036,59:270.054,60:263.21,61:187.38,62:133.422,63:256.863,64:251.898,65:234.987,66:254.02,67:251.274,68:159.627,69:150.649,70:166.742,71:195.842,72:285.629,73:220.36,74:215.883,75:282.884,76:263.664,77:208.384,78:224.407,79:179.761,80:288.405,81:243.765,82:219.916,83:125.69,84:231.812,85:187.849,86:243.725,87:219.103,88:207.722,89:168.697,90:225.632,91:234.272,92:216.489,93:155.891,94:223.595,95:183.986,96:274.115,97:288.085,98:160.303,99:248.236
30>0:210.957,1:153.758,2:85.2424,3:92.5426,4:83.2799,5:226.43,6:95.0602,7:180.001,8:79.403,9:216.246,10:168.596,11:170.38,12:98.7191,13:197.776,14:95.0815,15:95.8371,16:98.6034,17:170.196,18:217.589,19:71.5372,20:179.425,21:207.714,22:152.68,23:219.828,24:160.136,25:218.313,26:95.9521,27:230.635,28:209.223,29:187.307,30:0,31:192.386,32:232.372,33:161.556,34:162.907,35:156.692,36:163.925,37:156.302,38:62.1498,39:189.577,40:230.022,41:205.11,42:85.9927,43:101.565,44:156.33,45:166.479,46:97.3188,47:96.3104,48:131.522,49:157.987,50:83.5723,51:217.051,52:157.398,53:154.918,54:232.178,55:95.378,56:163.882,57:98.3036,58:160.614,59:96.1562,60:96.5887,61:224.266,62:162.572,63:93.7942,64:222.486,65:153.013,66:99.7935,67:310.356,68:213.031,69:195.904,70:233.205,71:223.038,72:137.574,73:98.8508,74:221.937,75:86.7386,76:255.299,77:141.804,78:98.8302,79:202.83,80:52.3312,81:96.2365,82:93.288,83:223.649,84:95.7623,85:211.962,86:89.6333,87:198.244,88:162.218,89:210.08,90:167.851,91:154.806,92:169.202,93:220.376,94:95.7555,95:219.228,96:95.403,97:83.2722,98:212.688,99:152.57
31>0:224.772,1:171.116,2:228.579,3:163.277,4:174.505,5:181.337,6:162.317,7:171.905,8:238.501,9:139.981,10:146.471,11:196.55,12:140.028,13:71.3321,14:226.222,15:190.998,16:169.63,17:180.01,18:87.7528,19:240.206,20:199.184,21:230.752,22:147.568,23:90.5828,24:148.594,25:82.4338,26:172.878,27:148.442,28:161.986,29:78.3456,30:233.55,31:0,32:173.405,33:148.712,34:145.521,35:175.021,36:118.991,37:171.173,38:233.457,39:265.468,40:171.419,41:180.994,42:168.482,43:152.954,44:192.081,45:144.431,46:166.689,47:161.867,48:136.925,49:190.426,50:149.328,51:200.08,52:101.624,53:179.706,54:118.468,55:178.192,56:149.586,57:162.049,58:138.035,59:158.139,60:162.292,61:167.888,62:79.257,63:164.185,64:222.367,65:168.899,66:159.55,67:235.294,68:94.6076,69:144.906,70:155.064,71:143.393,72:249.363,73:174.209,74:160.848,75:242.023,76:189.207,77:162.245,78:166.971,79:128.636,80:237.233,81:178.657,82:166.691,83:124.924,84:164.567,85:206.262,86:160.704,87:266.805,88:163.436,89:226.161,90:238.305,91:168.13,92:274.672,93:115.683,94:173.951,95:183.122,96:234.208,97:246.515,98:150.815,99:188.163
32>0:89.9526,1:193.402,2:214.441,3:166.483,4:181.676,5:76.5902,6:97.7627,7:97.2143,8:224.56,9:132.036,10:91.1407,11:101.579,12:95.5632,13:96.1105,14:222.949,15:191.719,16:165.046,17:104.819,18:79.6964,19:163.143,20:99.4222,21:77.4868,22:146.088,23:81.081,24:99.1452,25:149.994,26:107.649,27:162.466,28:156.088,29:97.6073,30:230.104,31:96.511,32:0,33:93.507,34:90.566,35:91.4554,36:92.8521,37:90.1886,38:202.403,39:90.593,40:79.8749,41:98.1282,42:210.269,43:98.3681,44:156.746,45:89.7748,46:194.167,47:91.204,48:228.464,49:91.4898,50:90.8996,51:95.8849,52:88.2688,53:97.9493,54:121.52,55:95.4089,56:91.8361,57:167.01,58:190.519,59:89.0228,60:105.338,61:92.7502,62:84.8815,63:182.689,64:74.7094,65:177.137,66:103.9,67:96.3828,68:151.352,69:148.172,70:79.4273,71:137.333,72:200.1,73:102.647,74:162.815,75:223.445,76:90.6306,77:157.665,78:197.003,79:91.6258,80:210.959,81:161.751,82:166.061,83:178.77,84:182.267,85:102.403,86:213.909,87:89.337,88:142.666,89:90.0151,90:97.043,91:182.27,92:102.131,93:126.787,94:99.6786,95:90.2853,96:166.789,97:229.426,98:69.2873,99:158.306
33>0:237.052,1:165.279,2:213.951,3:157.341,4:144.075,5:223.223,6:85.6321,7:132.972,8:250.908,9:181.759,10:197.872,11:95.5026,12:153.145,13:229.91,14:164.842,15:164.853,16:154.929,17:90.3538,18:237.765,19:203.423,20:87.4723,21:256.205,22:211.232,23:249.608,24:45.4032,25:176.039,26:158.346,27:221.472,28:204.616,29:205.795,30:212.234,31:154.362,32:199.25,33:0,34:66.8942,35:88.8343,36:243.418,37:77.2547,38:209.653,39:136.929,40:238.013,41:84.4466,42:153.234,43:90.3622,44:271.039,45:178.168,46:155.996,47:90.9798,48:259.949,49:240.058,50:152.982,51:92.3573,52:238.216,53:132.847,54:242.974,55:157.442,56:81.2296,57:155.949,58:178.374,59:85.9403,60:83.9531,61:236.686,62:249.235,63:159.02,64:251.277,65:191.406,66:87.5416,67:164.316,68:194.199,69:217.967,70:224.823,71:175.702,72:239.755,73:96.9152,74:218.787,75:163.119,76:83.7003,77:269.208,78:162.798,79:141.212,80:205.637,81:208.436,82:167.338,83:188.079,84:152.712,85:98.6128,86:209.712,87:137.536,88:200.046,89:235.156,90:95.5928,91:186.729,92:89.0209,93:241.137,94:94.9916,95:242.095,96:169.559,97:261.046,98:256.327,99:256.221
34>0:179.87,1:154.689,2:197.143,3:159.687,4:149.753,5:191.033,6:87.6931,7:74.6307,8:202.516,9:149.756,10:170.262,11:92.9873,12:152.443,13:168.926,14:172.097,15:158.757,16:152.093,17:86.7318,18:209.21,19:202.589,20:89.931,21:144.768,22:163.422,23:205.049,24:83.2758,25:207.87,26:158.758,27:184.02,28:181.092,29:210.138,30:201.664,31:176.65,32:180.208,33:59.5789,34:0,35:86.6795,36:221.45,37:82.0917,38:210.924,39:88.5737,40:203.278,41:87.215,42:144.555,43:92.8877,44:216.479,45:173.338,46:157.227,47:81.0802,48:238.777,49:221.696,50:152.505,51:92.429,52:217.327,53:81.9998,54:207.17,55:147.193,56:84.2044,57:159.366,58:144.428,59:85.8911,60:94.0507,61:224.558,62:220.055,63:155.146,64:140.814,65:150.294,66:95.1911,67:163.768,68:205.907,69:170.925,70:196.483,71:158.419,72:206.07,73:86.1033,74:184.714,75:169.333,76:88.516,77:219.52,78:163.066,79:121.079,80:209.152,81:217.744,82:147.847,83:165.617,84:154.288,85:93.0653,86:211.477,87:83.3659,88:139.283,89:234.423,90:96.8326,91:151.447,92:93.1261,93:223.584,94:93.023,95:215.384,96:161.303,97:208.391,98:162.354,99:193.119
35>0:199.859,1:74.8869,2:153.241,3:93.5974,4:87.3745,5:187.92,6:83.7693,7:143.126,8:155.125,9:125.528,10:223.129,11:95.9891,12:94.9376,13:218.131,14:89.1406,15:91.0419,16:90.0068,17:96.4978,18:220.284,19:155.036,20:102.422,21:241.458,22:129.771,23:185.404,24:83.3324,25:198.104,26:97.5611,27:176.779,28:170.284,29:213.14,30:141.979,31:183.052,32:227.104,33:92.2422,34:80.2669,35:0,36:218.275,37:88.0831,38:150.798,39:143.076,40:191.328,41:155.529,42:85.8196,43:94.9599,44:188.664,45:192.713,46:95.5297,47:79.8568,48:193.312,49:212.953,50:82.7769,51:96.5671,52:215.667,53:88.567,54:172.176,55:90.0069,56:92.2422,57:92.6614,58:134.711,59:87.0911,60:94.1218,61:283.689,62:213.22,63:94.1105,64:241.26,65:143.151,66:102.461,67:98.4856,68:224.323,69:217.424,70:180.558,71:118.73,72:206.579,73:93.1591,74:176.676,75:97.428,76:78.5023,77:197.582,78:85.6627,79:144.569,80:152.759,81:156.644,82:99.7154,83:147.07,84:79.77,85:96.7074,86:148.479,87:146.653,88:152.3,89:203.138,90:102.15,91:140.054,92:93.8915,93:169.069,94:101.003,95:199.05,96:93.9394,97:159.882,98:194.411,99:181.787
36>0:94.268,1:168.528,2:170.425,3:170.744,4:169.23,5:92.5653,6:167.436,7:201.897,8:159.507,9:131.461,10:88.8303,11:200.584,12:178.81,13:83.9222,14:167.573,15:168.298,16:164.684,17:208.14,18:87.1013,19:161.038,20:214.384,21:87.7528,22:83.8514,23:93.2588,24:202.714,25:84.506,26:168.524,27:162.532,28:157.054,29:92.0717,30:159.316,31:96.6718,32:87.1662,33:194.463,34:205.196,35:171.028,36:0,37:205.553,38:154.806,39:171.164,40:83.7148,41:175.257,42:164.259,43:169.022,44:90.2766,45:81.6178,46:203.55,47:164.574,48:83.663,49:89.7809,50:175.252,51:215.147,52:54.7765,53:193.509,54:90.0267,55:172.987,56:209.812,57:172.997,58:160.632,59:167.433,60:164.198,61:93.5645,62:94.4985,63:173.353,64:97.9419,65:166.412,66:166.589,67:94.8894,68:90.956,69:103.794,70:87.0145,71:132.042,72:95.3116,73:169.307,74:169.553,75:163.44,76:163.11,77:89.5664,78:166.093,79:84.8713,80:166.361,81:196.12,82:203.323,83:91.0635,84:160.708,85:202.083,86:196.945,87:174.234,88:99.0069,89:100.443,90:184.13,91:170.89,92:202.677,93:93.4668,94:169.291,95:94.0985,96:172.208,97:161.455,98:85.1012,99:90.9273
37>0:151.115,1:224.841,2:252.542,3:197.092,4:180.715,5:200.342,6:89.9482,7:133.548,8:252.866,9:185.781,10:248.962,11:87.888,12:160.612,13:221.636,14:201.617,15:206.376,16:200.021,17:92.8745,18:220.483,19:250.222,20:76.1395,21:201.83,22:214.279,23:241.502,24:72.3789,25:265.695,26:164.478,27:217.587,28:194.492,29:233.352,30:248.757,31:260.138,32:210.461,33:76.1305,34:89.1274,35:133.779,36:270.286,37:0,38:242.649,39:78.1782,40:232.016,41:84.4214,42:195.645,43:81.9835,44:267.323,45:261.92,46:198.857,47:87.3822,48:277.536,49:250.946,50:186.2,51:88.4398,52:252.445,53:75.6487,54:249.335,55:164.205,56:61.3047,57:201.736,58:190.763,59:81.0099,60:83.7289,61:257.766,62:211.256,63:195.302,64:193.72,65:190.643,66:90.4578,67:92.3004,68:281.839,69:218.888,70:180.649,71:195.325,72:238.249,73:83.7885,74:212.995,75:208.775,76:87.2352,77:277.623,78:197.577,79:188.55,80:249.246,81:246.84,82:163.532,83:199.623,84:187.598,85:88.812,86:253.766,87:85.4128,88:172.513,89:145.346,90:88.1915,91:196.664,92:89.5961,93:234.498,94:89.3994,95:258.416,96:210.65,97:253.384,98:284.384,99:225.446
38>0:200.295,1:211.218,2:83.0878,3:91.1517,4:82.6954,5:189.24,6:96.282,7:257.632,8:148.391,9:187.639,10:167.023,11:173.504,12:101.187,13:204.292,14:91.925,15:88.7199,16:91.4237,17:178.114,18:196.164,19:75.055,20:200.835,21:195.615,22:134.789,23:191.474,24:159.532,25:219.344,26:94.0518,27:196.578,28:229.736,29:199.658,30:59.439,31:195.564,32:188.838,33:164.693,34:165.422,35:150.977,36:158.616,37:166.228,38:0,39:258.233,40:193.835,41:246.062,42:86.3481,43:168.322,44:155.616,45:165.56,46:95.8708,47:97.3748,48:132.805,49:155.617,50:154.986,51:180.196,52:156.005,53:183.856,54:224.252,55:88.5874,56:162.387,57:95.9214,58:191.671,59:97.977,60:90.022,61:232.837,62:160.207,63:94.0997,64:200.97,65:182.245,66:105.692,67:250.601,68:244.702,69:189.562,70:187.31,71:183.335,72:140.625,73:97.3031,74:193.256,75:95.6517,76:241.278,77:145.467,78:92.6543,79:240.867,80:61.0148,81:89.549,82:94.1422,83:185.421,84:84.2512,85:161.731,86:83.0885,87:250.372,88:171.462,89:197.595,90:166.969,91:190.119,92:171.473,93:242.049,94:101.44,95:235.225,96:90.3346,97:157.269,98:236.301,99:162.084
39>0:192.827,1:160.349,2:217.559,3:230.745,4:264.449,5:172.157,6:92.1604,7:80.3379,8:226.68,9:187.774,10:200.63,11:90.6182,12:150.13,13:184.002,14:258.673,15:333.544,16:240.781,17:95.8363,18:202.47,19:254.45,20:90.8224,21:169.082,22:151.816,23:237.742,24:138.646,25:185.584,26:203.527,27:187.238,28:174.455,29:190.306,30:204.308,31:184.036,32:171.275,33:147.496,34:81.9361,35:232.537,36:244.031,37:75.9938,38:219.361,39:0,40:149.626,41:145.889,42:165.88,43:94.6178,44:230.259,45:197.873,46:257.309,47:84.6667,48:212.802,49:195.74,50:232.31,51:87.4914,52:252.837,53:64.472,54:249.223,55:148.632,56:89.1038,57:228.524,58:185.634,59:82.1033,60:92.5484,61:219.988,62:217.886,63:264.657,64:163.012,65:188.234,66:155.575,67:197.403,68:211.977,69:243.973,70:168.024,71:196.58,72:209.915,73:155.641,74:173.322,75:261.954,76:137.589,77:216.051,78:254.629,79:208.303,80:276.314,81:242.493,82:206.7,83:221.108,84:169.376,85:82.7844,86:215.787,87:88.8677,88:167.225,89:169.4,90:83.6573,91:189.078,92:87.2067,93:226.216,94:152.277,95:218.863,96:340.104,97:236.868,98:236.939,99:204.102
40>0:91.4727,1:192.969,2:215.824,3:153.851,4:164.375,5:76.2317,6:157.692,7:153.787,8:207.635,9:81.3398,10:90.879,11:158.947,12:156.375,13:94.6927,14:164.41,15:160.782,16:150.385,17:157.485,18:78.4478,19:159.039,20:104.149,21:85.4148,22:139.545,23:71.0735,24:148.96,25:88.6953,26:148.97,27:155.107,28:152.444,29:96.6499,30:215.479,31:96.7111,32:77.2545,33:149.032,34:155.377,35:147.246,36:93.2867,37:160.727,38:209.064,39:99.7344,40:0,41:101.782,42:152.543,43:158.871,44:163.064,45:91.6883,46:191.361,47:159.345,48:202.059,49:93.0161,50:156.052,51:102.252,52:97.4113,53:152.762,54:78.6944,55:154.709,56:150.341,57:159.637,58:152.644,59:157.41,60:164.277,61:94.2081,62:101.422,63:168.218,64:81.6251,65:159.343,66:155.224,67:107.496,68:68.9594,69:95.5068,70:62.316,71:87.1415,72:205.108,73:156.076,74:155.085,75:161.49,76:90.9158,77:200.706,78:188.101,79:84.3593,80:217.771,81:157.029,82:157.517,83:146.437,84:169.745,85:97.1816,86:156.11,87:148.402,88:141.112,89:92.0115,90:162.184,91:163.375,92:165.13,93:149.217,94:158.169,95:90.4109,96:159.44,97:206.707,98:82.2664,99:155.016
41>0:138.171,1:211.745,2:249.857,3:208.733,4:213.741,5:144.21,6:98.4583,7:151.288,8:279.369,9:185.085,10:201.777,11:86.2391,12:257.833,13:208.072,14:210.67,15:249.477,16:215.462,17:91.034,18:197.861,19:314.28,20:78.6551,21:173.903,22:188.501,23:204.545,24:144.741,25:189.403,26:244.241,27:193.096,28:187.038,29:193.377,30:254.198,31:215.014,32:189.914,33:88.5001,34:153.938,35:192.209,36:212.983,37:88.8956,38:256.398,39:147.142,40:161.387,41:0,42:179.163,43:84.5232,44:219.806,45:210.135,46:216.458,47:92.2864,48:248.281,49:190.733,50:214.204,51:89.6007,52:212.906,53:153.126,54:230.538,55:271.438,56:87.9174,57:211.066,58:232.07,59:98.2535,60:93.0974,61:192.058,62:215.434,63:216.371,64:163.432,65:240.846,66:91.0581,67:157.475,68:211.846,69:202.027,70:164.968,71:174.895,72:268.609,73:163.167,74:186.581,75:214.269,76:88.5915,77:260.592,78:213.517,79:180.631,80:263.582,81:309.597,82:188.067,83:228.616,84:191.799,85:80.4192,86:258.182,87:91.3233,88:179.199,89:150.529,90:88.8366,91:234.623,92:95.003,93:226.191,94:163.437,95:228.695,96:252.383,97:274.129,98:204.935,99:221.992
